SUPERKINGDOM PROKARYOTA,,,,,,,,,,,,,,
,KINGDOM ARCHAEA [= ARCHAEBACTERIA],,,,,,,,,,,,,
,,,,,Phylum Crenarchaeota,,,,,,,,,
,,,,,,,,,Class “Aigarchaeota”,,,,,
,,,,,,,,,,,,,"Order N.N. (""Ca. Caldiarchaeum"")",
,,,,,,,,,Class “Korarchaeota”,,,,,
,,,,,,,,,,,,,"Order N.N. (""Ca. Korarchaeum"")",
,,,,,,,,,Class “Thaumarchaeota”,,,,,
,,,,,,,,,,,,,Order Cenarchaeales,
,,,,,,,,,Class Thermoprotei [= Crenarchaeota],,,,,
,,,,,,,,,,,,,Order Acidilobales,
,,,,,,,,,,,,,Order Desulfurococcales,
,,,,,,,,,,,,,Order Fervidicoccales,
,,,,,,,,,,,,,Order Sulfolobales,
,,,,,,,,,,,,,Order Thermoproteales,
,,,,,Phylum Euryarchaeota,,,,,,,,,
,,,,,,,,,Class Archaeoglobi,,,,,
,,,,,,,,,,,,,Order Archaeoglobales,
,,,,,,,,,Class Halobacteria,,,,,
,,,,,,,,,,,,,Order Halobacteriales,
,,,,,,,,,Class Methanobacteria,,,,,
,,,,,,,,,,,,,Order Methanobacteriales,
,,,,,,,,,Class Methanococci,,,,,
,,,,,,,,,,,,,Order Methanococcales,
,,,,,,,,,Class “Methanomicrobia”,,,,,
,,,,,,,,,,,,,Order Methanocellales,
,,,,,,,,,,,,,Order Methanomicrobiales,
,,,,,,,,,,,,,Order Methanosarcinales,
,,,,,,,,,Class Methanopyri,,,,,
,,,,,,,,,,,,,Order Methanopyrales,
,,,,,,,,,Class “Nanohaloarchaea”,,,,,
,,,,,,,,,,,,,"Order N.N. (e.g., ""Ca. Nanosalinarum"")",
,,,,,,,,,Class Thermococci,,,,,
,,,,,,,,,,,,,Order Thermococcales,
,,,,,,,,,Class Thermoplasmata,,,,,
,,,,,,,,,,,,,Order Thermoplasmatales,
,KINGDOM BACTERIA [= EUBACTERIA],,,,,,,,,,,,,
,,SUBKINGDOM NEGIBACTERIA,,,,,,,,,,,,
,,,,,Phylum Acidobacteria,,,,,,,,,
,,,,,,,,,Class N.N. (Bryobacter),,,,,
,,,,,,,,,Class Acidobacteria,,,,,
,,,,,,,,,,,,,Order Acidobacteriales,
,,,,,,,,,Class Holophagae,,,,,
,,,,,,,,,,,,,Order Acanthopleuribacterales,
,,,,,,,,,,,,,Order Holophagales,
,,,,,Phylum Aquificae,,,,,,,,,
,,,,,,,,,Class Aquificae,,,,,
,,,,,,,,,,,,,Order Aquificales,
,,,,,Phylum Armatimonadetes,,,,,,,,,
,,,,,,,,,Class Armatimonadia,,,,,
,,,,,,,,,,,,,Order Armatimonadales,
,,,,,,,,,Class Chthonomonadetes,,,,,
,,,,,,,,,,,,,Order Chthonomonadales,
,,,,,,,,,Class Fimbriimonadia,,,,,
,,,,,,,,,,,,,Order Fimbriimonadales,
,,,,,Phylum Bacteroidetes,,,,,,,,,
,,,,,,,,,Class Bacteroidia,,,,,
,,,,,,,,,,,,,Order Bacteroidales,
,,,,,,,,,Class Cytophagia,,,,,
,,,,,,,,,,,,,Order Cytophagales,
,,,,,,,,,Class Flavobacteria,,,,,
,,,,,,,,,,,,,Order Flavobacteriales,
,,,,,,,,,Class Sphingobacteriia,,,,,
,,,,,,,,,,,,,Order Sphingobacteriales,
,,,,,Phylum Caldiserica,,,,,,,,,
,,,,,,,,,Class Caldisericia,,,,,
,,,,,,,,,,,,,Order Caldisericales,
,,,,,Phylum Chlamydiae,,,,,,,,,
,,,,,,,,,Class Chlamydiae,,,,,
,,,,,,,,,,,,,Order Chlamydiales,
,,,,,Phylum Chlorobi,,,,,,,,,
,,,,,,,,,Class Chlorobea,,,,,
,,,,,,,,,,,,,Order Chlorobiales,
,,,,,,,,,Class Ignavibacteria,,,,,
,,,,,,,,,,,,,Order Ignavibacteriales,
,,,,,Phylum Chrysiogenetes,,,,,,,,,
,,,,,,,,,Class Chrysiogenetes,,,,,
,,,,,,,,,,,,,Order Chrysiogenales,
,,,,,Phylum Cyanobacteria [= Cyanophyta],,,,,,,,,
,,,,,,,,,Class Cyanophyceae [= Phycobacteria],,,,,
,,,,,,,,,,,,,Order Chroococcales,
,,,,,,,,,,,,,Order Nostocales,
,,,,,,,,,,,,,Order Oscillatoriales,
,,,,,,,,,,,,,Order Pseudanabaenales,
,,,,,,,,,,,,,Order Synechococcales,
,,,,,,,,,Class Gloeobacteria [= Gloeobacterophyceae],,,,,
,,,,,,,,,,,,,Order Gloeobacterales,
,,,,,Phylum Deferribacteres,,,,,,,,,
,,,,,,,,,Class Deferribacteres,,,,,
,,,,,,,,,,,,,Order Deferribacterales,
,,,,,Phylum Deinococcus-Thermus [= Hadobacteria],,,,,,,,,
,,,,,,,,,Class Deinococci,,,,,
,,,,,,,,,,,,,Order Deinococcales,
,,,,,,,,,,,,,Order Thermales,
,,,,,Phylum Dictyoglomi,,,,,,,,,
,,,,,,,,,Class Dictyoglomia,,,,,
,,,,,,,,,,,,,Order Dictyoglomales,
,,,,,Phylum Elusimicrobia,,,,,,,,,
,,,,,,,,,Class Elusimicrobia,,,,,
,,,,,,,,,,,,,Order Elusimicrobiales,
,,,,,Phylum Fibrobacteres,,,,,,,,,
,,,,,,,,,Class Fibrobacteria,,,,,
,,,,,,,,,,,,,Order Fibrobacterales,
,,,,,Phylum Fusobacteria,,,,,,,,,
,,,,,,,,,Class Fusobacteriia,,,,,
,,,,,,,,,,,,,Order Fusobacteriales,
,,,,,Phylum Gemmatimonadetes,,,,,,,,,
,,,,,,,,,Class Gemmatimonadetes,,,,,
,,,,,,,,,,,,,Order Gemmatimonadales,
,,,,,Phylum Lentisphaerae,,,,,,,,,
,,,,,,,,,Class Lentisphaeria,,,,,
,,,,,,,,,,,,,Order Lentisphaerales,
,,,,,,,,,,,,,Order Victivallales,
,,,,,,,,,Class Oligosphaeria,,,,,
,,,,,,,,,,,,,Order Oligosphaerales,
,,,,,Phylum Nitrospira,,,,,,,,,
,,,,,,,,,"Class ""Nitrospira""",,,,,
,,,,,,,,,,,,,"Order ""Nitrospirales""",
,,,,,Phylum Planctomycetes,,,,,,,,,
,,,,,,,,,Class Phycisphaerae,,,,,
,,,,,,,,,,,,,Order Phycisphaerales,
,,,,,,,,,Class Planctomycea,,,,,
,,,,,,,,,,,,,Order Planctomycetales,
,,,,,Phylum Proteobacteria,,,,,,,,,
,,,,,,,,,Class Alphaproteobacteria,,,,,
,,,,,,,,,,,,,"Order N.N. (e.g., Breoghania)",
,,,,,,,,,,,,,Order Caulobacterales,
,,,,,,,,,,,,,Order Kiloniellales,
,,,,,,,,,,,,,Order Kordiimonadales,
,,,,,,,,,,,,,Order Magnetococcales,
,,,,,,,,,,,,,Order “Parvularculales”,
,,,,,,,,,,,,,Order Rhizobiales,
,,,,,,,,,,,,,Order Rhodobacterales,
,,,,,,,,,,,,,Order Rhodospirillales,
,,,,,,,,,,,,,Order Rickettsiales,
,,,,,,,,,,,,,Order Sneathiellales,
,,,,,,,,,,,,,Order Sphingomonadales,
,,,,,,,,,Class Betaproteobacteria,,,,,
,,,,,,,,,,,,,Order N.N. (Chitinivorax),
,,,,,,,,,,,,,Order Burkholderiales,
,,,,,,,,,,,,,Order Hydrogenophilales,
,,,,,,,,,,,,,Order Methylophilales,
,,,,,,,,,,,,,Order Neisseriales,
,,,,,,,,,,,,,Order Nitrosomonadales,
,,,,,,,,,,,,,"Order ""Procabacteriales""",
,,,,,,,,,,,,,Order Rhodocyclales,
,,,,,,,,,Class Deltaproteobacteria,,,,,
,,,,,,,,,,,,,"Order N.N. (e.g., Deferrisoma)",
,,,,,,,,,,,,,Order Bdellovibrionales,
,,,,,,,,,,,,,Order Desulfarculales,
,,,,,,,,,,,,,Order Desulfobacterales,
,,,,,,,,,,,,,Order Desulfovibrionales,
,,,,,,,,,,,,,Order Desulfurellales,
,,,,,,,,,,,,,Order Desulfuromonadales,
,,,,,,,,,,,,,Order Myxococcales,
,,,,,,,,,,,,,Order Syntrophobacterales,
,,,,,,,,,Class Epsilonproteobacteria,,,,,
,,,,,,,,,,,,,Order Campylobacterales,
,,,,,,,,,,,,,Order Nautiliales,
,,,,,,,,,Class Gammaproteobacteria,,,,,
,,,,,,,,,,,,,"Order N.N. (e.g., Alkalimonas)",
,,,,,,,,,,,,,Order Acidithiobacillales,
,,,,,,,,,,,,,Order Aeromonadales,
,,,,,,,,,,,,,Order Alteromonadales,
,,,,,,,,,,,,,Order Cardiobacteriales,
,,,,,,,,,,,,,Order Chromatiales,
,,,,,,,,,,,,,Order “Enterobacteriales”,
,,,,,,,,,,,,,Order Legionellales,
,,,,,,,,,,,,,Order Methylococcales,
,,,,,,,,,,,,,Order Oceanospirillales,
,,,,,,,,,,,,,Order Orbales,
,,,,,,,,,,,,,Order Pasteurellales,
,,,,,,,,,,,,,Order Pseudomonadales,
,,,,,,,,,,,,,Order “Salinisphaerales”,
,,,,,,,,,,,,,Order Thiotrichales,
,,,,,,,,,,,,,Order “Vibrionales”,
,,,,,,,,,,,,,Order Xanthomonadales,
,,,,,,,,,Class Zetaproteobacteria,,,,,
,,,,,,,,,,,,,Order Mariprofundales,
,,,,,Phylum Spirochaetae,,,,,,,,,
,,,,,,,,,"Class ""Spirochaetes""",,,,,
,,,,,,,,,,,,,Order Spirochaetales,
,,,,,Phylum Synergistetes ,,,,,,,,,
