Taxon  ,Current Parent,Proposed Parent,Reference,Notes,,,http://ec2-54-212-144-245.us-west-2.compute.amazonaws.com/opentree/argus/otol.draft.22@4/cellular-organisms
Nodulinella,Chromista,Foraminifera,WORMS,,,,
Alfredinidae,Chromista,Asterigerinidae,WORMS,Proposed parent is not in OTT,Asterigerinidae is in OTT,,
Almaenidae,Chromista,Nonionoidea,WORMS,,,,
Radiozoa,Chromista,Rhizaria,WORMS,,,,
Ammolagenidae,Chromista,Hormosinellidae,WORMS,Proposed parent is not in OTT,Hormosinellidae is in ott,,
Towella,Chromista,Foraminifera,WORMS,Foraminifera incertae sedis,,,
Lekithiammina,Chromista,Foraminifera,WORMS,Foraminifera incertae sedis,,,
Aschemocellidae,Chromista,Hormosinidae,WORMS,Proposed parent is not in OTT,Hormosinidae is in ott,,
Rhaphidoscene,Chromista,Foraminifera,WORMS,Foraminifera incertae sedis,,,
Tosaiidae,Chromista,Turrilinacea,WORMS,,,,
Asiarotalia,Chromista,Rotaliidae,WORMS,,,,
Xiphophaga,Chromista,Foraminifera,WORMS,Foraminifera incertae sedis,,,
Mallopela,Chromista,Foraminifera,WORMS,taxon inquirendum ?,,,
Heterolepidae,Chromista,Chilostomellidae ,WORMS,,,,
Cystophrys,Chromista,Lagynidae,WORMS,Proposed parent is not in OTT,,,
Coscinophragmatidae,Chromista,Coscinophragmatidae,WORMS,Proposed parent is not in OTT,,,
Psammolagynis,Chromista,Foraminifera,WORMS,Foraminifera incertae sedis,,,
Phthanotrochidae,Chromista,Allogromida,WORMS,Proposed parent is not in OTT,,,
Hormosinellidae,Chromista,,WORMS,Proposed parent is not in OTT,,,
Keramosphaeridae,Chromista,Soritidae,WORMS,,Soritoidea is not in OTT,,
Schizocladiophyceae,Chromista,Ochrophyta,WORMS,,,,
Echinogromia,Chromista,Foraminifera ,WORMS,Foraminifera incertae sedis,,,
Bolivinellidae,Chromista,Cassidulinidea ,WORMS,,,,
Bagginidae,Chromista,Discorboidea,WORMS,,,,
Bronnimannidae,Chromista,Discorboidea,WORMS,,,,
Placentulinidae,Chromista,Discorboidea ,WORMS,,,,
Ungulatellidae,Chromista,Discorboidea,,,,,
Apogromia,Chromista,Lagynidae ,WORMS,,,,
Fabulariidae,Chromista,Alveolinidea ,WORMS,,,,
Verneuilinidae,Chromista,Verneuilinidea ,WORMS,,,,
Tubinellidae,Chromista,Miliolina,WORMS,,,,
Lagunculina,Chromista,Foraminifera ,WORMS,Foraminifera incertae sedis,,,
Conotrochamminidae,Chromista,Verneuilinidea ,WORMS,,,,
Heterogromia,Chromista,Lagynidae ,WORMS,,,,
Cribrolinoididae,Chromista,Miliolida,WORMS,,,,
Ciliophrydae,Chromista,Heliozoa ,WORMS,Hacrobia (Subkingdom) > Checked: verified by a taxonomic editorHeliozoa (Phylum) > Checked: verified by a taxonomic editorHeliozoa incertae sedis (Class),,,
Haplophragmoididae,Chromista,Lituolida,WORMS,,,,
Asterigerinatidae,Chromista,Asterigerinidae,WORMS,Asterigerinidea,Not in OTT,,
Notorotaliidae,Chromista,Rotaliida,WORMS,,,,
Septammina,Chromista,Foraminifera ,WORMS,,,,
Reophaxopsis,Chromista,Foraminifera,WORMS,,,,
Ammosigmoinella,Chromista,Miliolina,WORMS,,,,
Notodendrodidae,Chromista,Astrorhizidea ,WORMS,,,,
Louisianinidae,Chromista,Planorbulinacea,WORMS,,,,
Stictogongylus,Chromista,Foraminifera ,WORMS,,,,
Spiroloculinidae,Chromista,Miliolida,WORMS,,,,* Diatomea is unaccepted = Bacillariophyta
Chrysalidinidae,Chromista,Chrysalidinidea ,WORMS,,,,
Dendropela,Chromista,Foraminifera ,WORMS,Foraminifera incertae sedis,,,* all Foraminifera = Foraminifera incertae sedis
Remaneicidae,Chromista,Trochamminidae,WORMS,,,,
Ceratestina,Chromista,Allogromiida,WORMS,,,,
Conicotheca,Chromista,Allogromiida,WORMS,,,,
Planispirillinidae,Chromista,Spirillinina,WORMS,,,,
Rotaliporidae,Chromista,Rotaliporidea ,WORMS,,,,
