Pista wui,Annelida,105938,""
Rebecca salina,Haptophyta,168560,""
Synedra acus,Eukaryota,992764,"id is wrong? should it be 992764?"
Tuber indicum,Fungi,766380,""
Rhysida nuda,Arthropoda,849378,""
Car pini,Coleoptera,444291,""
Lima lima,Mollusca,124368,""
Lippia alba,Chloroplastida,603412,""
Acrotylus australis,Rhodophyta,637886,""
Malo kingi,Cnidaria,665121,""
Loa loa,Metazoa,555803,""
Bosea eneae,Bacteria,871815,""
Oscarella nicolae,Porifera,4939679,""
Pleurobrachia bachei,Ctenophora,742126,"comb jelly ncbi:34499"
Ctenophora,Stramenopiles,103964,"diatom ncbi:1003038"
Ctenophora,Tipulidae,1043126,"cranefly ncbi:516519"
Ia io,Chordata,797470,""
Larca lata,Arachnida,895021,""
Uca osa,Malacostraca,357625,""
Osca lata,Diptera,4449665,""
Una usta,Lepidoptera,1082485,""
Odontomachus rixosus,Hymenoptera,788940,"http://dx.doi.org/10.1242/jeb.015263"
Cyanophora biloba,Glaucophyta,5401404,""
Aeropyrum camini,Archaea,28783,"http://www.ncbi.nlm.nih.gov/taxonomy accessed 2014-07-24"
Resnova humifusa,Massonieae,101493,"https://github.com/OpenTreeOfLife/feedback/issues/57"
Drosophila,Metazoa,34907,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/112"
Choanoflagellida,Opisthokonta,202765,"https://github.com/OpenTreeOfLife/feedback/issues/45"
Dendrosporium,Pezizomycotina,5343662,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Macrophoma,Botryosphaeriaceae,5394801,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Cordana,Pezizomycotina,946160,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Pseudofusarium,Nectriaceae,655794,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Marssonina,Dermateaceae,372158,"fungus https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Marssonia,Archaeplastida,5512668,"plant (don't confuse with fungus)"
Tricellulortus peponiformis,Cantharellales,321127,"https://github.com/OpenTreeOfLife/reference-taxonomy/issues/66"
Phaeosphaeria,Rhizaria,736911,""
Phaeosphaeria,Ascomycota,5486272,""
Saccharomycetes,Ascomycota,989999,"if:90791"
Acantharia,Opisthokonta,5342505,"if:8 Nom. illegit., Art. 53.1"
Acantharia,SAR,45752,"silva:AB178580/#5,ncbi:65574"
Bogoriella,Bacteria,795477,""
Bogoriella,Eukaryota,4928295,""
Bostrychia,Florideophycidae,782484,""
Bostrychia,Aves,3596729,"suppressed synonym - bird ncbi:1281446"
Buchnera,Bacteria,888130,""
Buchnera,Lamiales,805459,""
Campanella,Nucletmycea,5342392,"not cnidaria or SAR"
Campanella,SAR,136738,"not cnidaria or fungus"
Ciliophora,Ascomycota,5343665,""
Ciliophora,Alveolata,302424,""
