irmng,ott,name,synthesis
10527966,3675993,Cylicia magna,
11212901,3663422,Myopea caleum,
10183935,4001701,Encephalartos middleburgensis,synthesis
11357571,2846853,Grania eurystila,
10015613,3540271,Urodacus planimanus,
10176199,5514395,Tridophyllum bienne,
10187342,5514459,Callionia simplex,
11058697,5514368,Nothofagus soltruncata,
11103647,4669023,Pseudastacus pustulosa,
119963,5089191,Oxypeltidae,
11218468,3552336,Coptoprepes campinensis,
10961793,5125357,Valdiviella trisetosa,
11083139,3563841,Achaearanea vervoorti,
10020220,3563877,Achaearanea wau,
11545788,5120624,Glycyphagus hypudaei,
11227464,3886205,Eleutherococcus setchuensis,
11083597,763540,Squilla mikado,synthesis
10019389,3545631,Spartaeus uplandicus,
10020047,3545610,Holcolaetis zuluensis,
10532033,4945087,Hyopsodus paulus,synthesis
10182505,162606,Rubus fruticosus,
10188063,3903649,Crataegus crusgalli,
10209270,551993,Crypsis niliaca,
10689467,2971265,Penaeus semisculcatus,synthesis
10809338,432183,Siriella messinensis,
11461990,5092947,Platylepas ophiophilius,synthesis
10018351,3546065,Ilargus modestus,
10419975,5514794,Potentilla fusca,
11419576,557295,Hordeum californica,
10073128,3439650,Boopia uncinata,
11188944,3438978,Austrogoniodes metoecus,synthesis
10060709,3438979,Austrogoniodes bicornutus,synthesis
10530648,2974687,Albunea occulatus,synthesis
11899420,5539550,Palaemonetes granulosus,synthesis
10543655,2972571,Palaemonetes atribunes,synthesis
11403199,134160,Rana nigrolineata,synthesis
11167532,134147,Rana bannanica,synthesis
11439391,130110,Rana nigrotympanica,synthesis
10753918,4331183,Panops nigripes,synthesis
11613986,5048871,Rhopalotria dimidiata,
11150068,5815829,Rhopalotria slossoni,
11522360,5048975,Pachyurinus sticticus,
11613483,5048974,Hadrobelus undulatus,
11613985,5048904,Parallocorynus bicolor,
11522353,5048903,Trichophthalmus miltomerus,
11674602,5048876,Agathinus tridens,
11522087,5048915,Araiobelus filum,
11522349,5048896,Homalocerus acuminatus,
11672761,5048894,Homalocerus lyciformis,
