id	replacement
2811123	740575
2811171	1083026
2811277	774078
2811271	785999
4120633	184465
4120636	450721
4120627	746937
4120629	238051
4120625	221197
4120560	1071139
4120593	630733
4120490	630730
4040065	826357
4120395	432142
4120396	4120415
4120392	403992
4120394	4120416
4040112	615480
4040108	563818
3796463	1008027
3796519	1008021
4120073	546135
4120061	163252
4806542	568600
3796125	274718
4987139	250877
4987165	1015094
4987065	992899
503366	199721
4806852	754991
2810992	520045
2810846	271533
3452476	370428
2810671	1050981
2810680	381419
2810654	1022580
2810655	306828
2810658	164912
913472	4774250
3833210	44180
4120822	598511
3795555	659087
3795533	929040
3795544	503855
4087889	758775
5009379	30703
3795340	924375
2812475	911128
3295671	5229994
3365109	142513
3295720	501254
3795115	511418
3378760	519876
4735223	560346
2812058	562857
3378407	949930
3365562	153525
4087048	284538
3319936	467248
3960719	612186
3832727	432985
3960677	141598
3832455	89360
3960991	618388
3960994	618378
3960985	618380
3960986	618386
3960978	1053671
1032426	29822
3832862	277680
1032534	3983597
3098234	5227722
3960198	498334
3794982	911614
3794991	911617
3794993	911620
3794915	980777
3794901	477938
3794925	4085699
3794860	983651
3794863	851993
3794864	472550
3794868	551781
3794865	786700
3794866	969864
3794869	253235
3794871	253247
3794872	551780
3794873	551785
3794874	271889
3794875	993101
3794877	947854
3832161	415054
3832132	364661
3794853	188591
3794851	508066
3794856	692045
3794854	794442
3794855	794445
3794858	555923
3960324	389512
3794798	920909
3794636	380915
3794639	1059524
3832349	1071219
3794644	485019
3794640	607549
3960293	817582
2811375	271536
3794614	73142
3794615	476975
3794612	1017580
3794583	870605
3832052	764509
4084545	977500
4122928	4122663
4084434	35643
4122891	586993
4122884	623474
4122744	245685
4122689	194758
4084090	60753
3366791	188368
277107	33882
277108	5146498
4738842	1078421
4985180	776950
4122551	41571
3798580	345001
4122321	1027547
3798618	531312
4122318	1027548
3798661	459137
3798767	784800
3798750	472063
3798703	226698
4985830	41265
3831623	566665
4985735	82778
4985645	953511
4985546	694375
3831155	350043
3831215	539160
4804531	421950
3831289	643585
3831414	868942
4739465	397395
230873	230872
3298890	322701
2814409	983598
4121467	33772
4085708	4085704
4085706	4085704
4085705	4085704
4121340	489455
4121627	3208
4085822	1085948
4085791	883110
4085762	865925
4121629	167095
4085982	735674
3095884	1031122
4121581	859560
4121518	670171
4121519	980108
4121854	546855
4121841	579175
2814821	672643
2814972	949630
2814965	1021452
4085289	819578
4085301	819779
4121914	525962
4121916	510713
4085492	555943
4085491	794446
4986273	617638
4986398	96166
4986399	1025234
4986407	626793
4121205	4945907
4121259	4121222
4986021	736513
4121082	886670
3830413	87604
3830428	3830538
3830518	3830732
3830214	3830766
3830358	636241
3830346	3830623
3830327	3830713
4986628	41272
3830000	440643
914165	517723
1034163	2832252
5006215	191692
1034649	3596267
1034802	3899425
2902460	260209
2902365	260212
2902361	260207
2902395	3074
2902357	192949
4124872	985497
4124848	248865
2902288	359310
1038142	585190
1038140	637613
3964005	763224
3964020	1006177
4124606	130802
4124608	588054
3964113	780230
2815056	423920
4732299	101647
4124352	349924
4732261	441993
4124348	58579
4124390	967617
4732232	269849
4124401	588798
4124403	549297
4124429	451506
4124434	451505
4124431	451504
4732185	24752
3375715	213772
507541	3613223
3964342	1058573
3964278	1074300
462800	3466962
3964817	963919
3889026	870363
3964786	869838
4983636	964017
4082013	97562
3963804	595874
508275	4065251
3888722	274173
3888717	865678
3888741	413485
4983833	1027581
1037995	3755915
4125614	761860
4125642	380758
3888930	172367
3619670	187218
3619685	187217
3888858	667844
4125400	441757
4125404	901116
4732562	354123
4125377	118838
4125379	346857
4125370	901118
4125358	760884
4125357	973785
4125354	245842
4125353	653137
4125367	818463
4125363	901117
4125364	970153
4125365	196312
4125366	640477
4125332	967568
4125342	901108
4125343	69054
4125345	1009499
4125348	1094509
4125340	32964
4125320	901109
4125322	196313
4125309	245841
4125307	901104
4125304	492044
4732616	220657
3619492	4948321
4125299	967564
4125239	740582
4983239	118229
4125148	477741
3619366	44087
4983309	667020
4125014	543343
3619237	493454
4473211	823666
3619182	898917
3619191	87729
2901006	442694
4123501	413249
4123546	286895
2816666	4024728
4123701	71365
2816804	2816974
3799682	121407
4123098	228968
4123020	696637
4123080	481222
3361435	782548
3799605	970711
3799569	695523
3799573	121408
3799571	695526
3799579	121410
3799546	858385
3618624	276284
2816512	413276
4123341	169475
3965402	1096845
3799320	1034290
3799319	693495
4123431	162816
3965626	569407
3965472	971393
3965471	971410
3965490	971408
3965835	497783
3965692	512958
461312	3638082
4123932	503577
4123941	548155
3093176	840303
1037420	3970867
4083192	1066493
5139858	54559
4083372	227030
4731884	1014810
4731818	467345
4731816	181871
4731815	527367
4731827	372492
4731824	536155
4731820	495508
4731821	897815
4731822	897802
3887490	945703
3887488	865871
3887489	945704
4083959	771495
3887300	590398
3887306	223019
4083900	854354
3887258	590392
3887272	956997
3887262	223033
3887186	409503
3887085	56968
3887873	381957
957061	543940
3618290	901776
3618276	1014853
3618270	1014855
4731267	290352
4731266	708076
4731237	109144
3887761	874044
3887768	611570
4731381	500732
4731380	500722
4731375	102878
4731376	822668
3618168	1085127
3618156	595812
4731332	366906
3618462	242426
4124334	967628
4731083	4730982
4731077	4730983
4731075	184352
4731078	574587
4731061	4731054
3887532	1041751
3887548	189185
3299240	583104
4124130	845231
4731190	897804
3887515	189181
4984343	888451
4731696	367893
4731699	256805
4731701	518605
2901480	328585
3618084	1003351
3459608	409688
2817799	776167
4734551	799386
4734892	175880
823305	3755596
4734116	129600
3318053	14080
3962394	214319
3962372	214325
3962379	871315
3962291	1074291
5138438	136782
5138231	937100
4980670	409884
4980552	274795
4980555	518640
4980568	64303
3961765	888954
3961757	1027451
3961755	660580
3961862	1027456
465886	3894031
3961651	660589
4734968	525832
3361657	327153
3361687	276223
3961990	285172
4471007	1086276
4125681	571290
3091548	461913
1039484	464858
3963404	1018855
3963437	285160
3963478	1018850
3963487	378543
795030	5146499
795031	5146497
795032	5146493
795035	5146418
795042	5146487
795040	5146502
795044	5146484
3963322	285162
910074	3881998
3963631	285163
3963604	514611
506652	716608
3963532	285161
4981817	678512
910491	1061944
3963179	627045
3963171	392057
3963233	1064777
132805	4085376
3963135	901396
3962882	374244
3889981	142227
3889988	772642
4081317	803962
4081319	325518
4081313	674404
464473	4948082
3889863	634999
3889821	808809
4982802	455738
3962484	335180
3962456	561673
3962430	24592
3962438	23068
3962411	542983
3962400	23070
3962588	214315
3962571	335178
3962507	23066
3962621	214370
3962602	36373
3889251	251304
4081140	422772
4982049	260042
821901	821897
2818265	2818509
4472348	320957
4733947	185747
2818665	178704
959993	78817
959992	3885734
4472596	782606
2818789	277981
2818705	1018790
3370396	124739
3370426	710285
3968238	1051251
2988943	680987
3968174	1051247
2819656	878469
3968475	250143
2819502	2819286
2819132	183901
331879	4989081
3370617	375980
2866723	4160417
2866749	581547
2866292	796223
639401	4795773
2988613	599754
133315	743615
3884777	68649
3884677	262428
3884676	262426
3968767	295884
3968814	735331
2988624	140090
3968934	646398
4600345	316196
3969372	40279
3969359	559675
4930103	1025740
4930115	128732
4930114	965988
3969743	284440
3969759	284439
3969765	607148
3969760	85755
3969787	284442
3969629	5148540
3969525	85753
3969585	791738
3969531	137922
3969556	660145
3969560	660142
3969564	533436
3969464	318489
3969468	172924
4980202	649024
2940244	547654
2940265	168108
3537667	68339
2867524	1009793
2867164	423545
3657346	912600
3883254	948637
3883212	789003
3883112	161166
134636	444884
3969893	170278
3969820	973471
3969852	842910
3969883	842914
3969915	170282
3969928	815317
3883469	217276
3883413	903401
3883373	930978
3969967	842911
3969947	689230
3969934	528529
3969982	555050
588442	222402
3883532	35525
3883559	245897
3883571	326472
3883592	556471
3883596	35528
333419	906634
3886905	206567
3886680	172365
3886656	913788
3886708	850563
3886520	426606
3886510	46019
3886544	393740
3536382	5231634
4730868	5148275
2864429	969438
2864509	579053
4602136	17279
3966963	631681
3839948	219424
3839885	690721
3839803	1093790
3966501	575277
135650	625094
3966631	314344
4388984	4388974
3966661	521499
3967137	804047
3967158	97468
3967161	519944
2987917	801688
3885493	901673
3967030	765605
3967040	633104
3967076	290492
137134	4085748
4258216	155115
3885584	237902
3885669	837240
3885667	330775
3885665	744359
3885679	630111
3885689	773562
3885694	773566
3885693	1060790
3885655	773568
3885653	773090
3371426	163417
3371449	167963
3371453	4599692
332953	1007896
3838913	189576
3838845	207818
