name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Boopidaceae	|	6756	|	synonym	|	Boopidaceae (synonym for Calyceraceae)	|	gbif:6756	|	
Abrophyllaceae	|	4894506	|	synonym	|	Abrophyllaceae (synonym for Rousseaceae)	|	gbif:4894506	|	
Carpodetaceae	|	4894506	|	synonym	|	Carpodetaceae (synonym for Rousseaceae)	|	gbif:4894506	|	
Scaevolaceae	|	3113	|	synonym	|	Scaevolaceae (synonym for Goodeniaceae)	|	gbif:3113	|	
Brunoniaceae	|	3113	|	synonym	|	Brunoniaceae (synonym for Goodeniaceae)	|	gbif:3113	|	
Jasionaceae	|	8801	|	synonym	|	Jasionaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Lobeliaceae	|	8801	|	synonym	|	Lobeliaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Cyphiaceae	|	8801	|	synonym	|	Cyphiaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Nemacladaceae	|	8801	|	synonym	|	Nemacladaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Cyananthaceae	|	8801	|	synonym	|	Cyananthaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Cyphocarpaceae	|	8801	|	synonym	|	Cyphocarpaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Corokiaceae	|	3789900	|	synonym	|	Corokiaceae (synonym for Argophyllaceae)	|	gbif:3789900	|	
Donatiaceae	|	3232107	|	synonym	|	Donatiaceae (synonym for Stylidiaceae)	|	gbif:3232107	|	
Candolleaceae	|	3232107	|	synonym	|	Candolleaceae (synonym for Stylidiaceae)	|	gbif:3232107	|	
Senecionaceae	|	3065	|	synonym	|	Senecionaceae (synonym for Asteraceae)	|	gbif:3065	|	
Aposeridaceae	|	3065	|	synonym	|	Aposeridaceae (synonym for Asteraceae)	|	gbif:3065	|	
Anthemidaceae	|	3065	|	synonym	|	Anthemidaceae (synonym for Asteraceae)	|	gbif:3065	|	
Partheniaceae	|	3065	|	synonym	|	Partheniaceae (synonym for Asteraceae)	|	gbif:3065	|	
Eupatoriaceae	|	3065	|	synonym	|	Eupatoriaceae (synonym for Asteraceae)	|	gbif:3065	|	
Helichrysaceae	|	3065	|	synonym	|	Helichrysaceae (synonym for Asteraceae)	|	gbif:3065	|	
Acarnaceae	|	3065	|	synonym	|	Acarnaceae (synonym for Asteraceae)	|	gbif:3065	|	
Vernoniaceae	|	3065	|	synonym	|	Vernoniaceae (synonym for Asteraceae)	|	gbif:3065	|	
Coreopsidaceae	|	3065	|	synonym	|	Coreopsidaceae (synonym for Asteraceae)	|	gbif:3065	|	
Cynaraceae	|	3065	|	synonym	|	Cynaraceae (synonym for Asteraceae)	|	gbif:3065	|	
Echinopaceae	|	3065	|	synonym	|	Echinopaceae (synonym for Asteraceae)	|	gbif:3065	|	
Ambrosiaceae	|	3065	|	synonym	|	Ambrosiaceae (synonym for Asteraceae)	|	gbif:3065	|	
Calendulaceae	|	3065	|	synonym	|	Calendulaceae (synonym for Asteraceae)	|	gbif:3065	|	
Inulaceae	|	3065	|	synonym	|	Inulaceae (synonym for Asteraceae)	|	gbif:3065	|	
Perdiciaceae	|	3065	|	synonym	|	Perdiciaceae (synonym for Asteraceae)	|	gbif:3065	|	
Cassiniaceae	|	3065	|	synonym	|	Cassiniaceae (synonym for Asteraceae)	|	gbif:3065	|	
