uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
414	|		|	Asterales	|	order	|		|		|		|	
6756	|	414	|	Calyceraceae	|	family	|		|		|		|	
3170563	|	6756	|	Calycera	|	genus	|		|		|		|	
3906772	|	3170563	|	Calycera integrifolia	|	species	|		|		|		|	
8282822	|	3170563	|	Calycera foliosa	|	species	|		|		|		|	
3906718	|	3170563	|	Calycera leucanthema	|	species	|		|		|		|	
7274571	|	3170563	|	Calycera pulvinata	|	species	|		|		|		|	
3906747	|	3170563	|	Calycera intermedia	|	species	|		|		|		|	
7274546	|	3170563	|	Calycera herbacea	|	species	|		|		|		|	
3906702	|	3170563	|	Calycera calcitrapa	|	species	|		|		|		|	
3906759	|	3170563	|	Calycera integrifolla	|	species	|		|		|		|	
3906715	|	3170563	|	Calycera boopidea	|	species	|		|		|		|	
7274567	|	3170563	|	Calycera crassifolia	|	species	|		|		|		|	
3906741	|	3170563	|	Calycera involucrata	|	species	|		|		|		|	
3906754	|	3170563	|	Calycera tenuifolia	|	species	|		|		|		|	
3906783	|	3170563	|	Calycera horrida	|	species	|		|		|		|	
7274565	|	3170563	|	Calycera sessiliflora	|	species	|		|		|		|	
3906840	|	3170563	|	Calycera eryngioides	|	species	|		|		|		|	
7274538	|	3170563	|	Calycera sympaganthera	|	species	|		|		|		|	
7274506	|	6756	|	Gamocarpha	|	genus	|		|		|		|	
7274524	|	7274506	|	Gamocarpha dentata	|	species	|		|		|		|	
3906867	|	7274506	|	Gamocarpha polycephala	|	species	|		|		|		|	
7274516	|	7274506	|	Gamocarpha gilliesii	|	species	|		|		|		|	
3906855	|	7274506	|	Gamocarpha pumila	|	species	|		|		|		|	
3906807	|	7274506	|	Gamocarpha alpina	|	species	|		|		|		|	
7274550	|	7274506	|	Gamocarpha selliana	|	species	|		|		|		|	
3906789	|	7274506	|	Gamocarpha zelliana	|	species	|		|		|		|	
3170561	|	6756	|	Acicarpha	|	genus	|		|		|		|	
3906801	|	3170561	|	Acicarpha obtusisepala	|	species	|		|		|		|	
7274518	|	3170561	|	Acicarpha spathulata	|	species	|		|		|		|	
3170562	|	3170561	|	Acicarpha tribuloides	|	species	|		|		|		|	
3906863	|	3170561	|	Acicarpha bonariensis	|	species	|		|		|		|	
3906728	|	3170561	|	Acicarpha runcinata	|	species	|		|		|		|	
7274534	|	3170561	|	Acicarpha procumbens	|	species	|		|		|		|	
7274507	|	6756	|	Boopis	|	genus	|		|		|		|	
7940675	|	7274507	|	Boopis bupleuroides	|	species	|		|		|		|	
7274532	|	7274507	|	Boopis agglomerata	|	species	|		|		|		|	
3906810	|	7274507	|	Boopis filifolia	|	species	|		|		|		|	
7516365	|	7274507	|	Boopis necronensis	|	species	|		|		|		|	
3906686	|	7274507	|	Boopis itatiaiae	|	species	|		|		|		|	
3906695	|	7274507	|	Boopis pusilla	|	species	|		|		|		|	
7274526	|	7274507	|	Boopis graminea	|	species	|		|		|		|	
7672565	|	7274507	|	Boopis pterocalyx	|	species	|		|		|		|	
3906744	|	7274507	|	Boopis patagonia	|	species	|		|		|		|	
3906692	|	7274507	|	Boopis castillonii	|	species	|		|		|		|	
7274530	|	7274507	|	Boopis gracilis	|	species	|		|		|		|	
3906884	|	7274507	|	Boopis jurgensii	|	species	|		|		|		|	
7659372	|	7274507	|	Boopis prichardii	|	species	|		|		|		|	
3906737	|	7274507	|	Boopis patagonica	|	species	|		|		|		|	
3906892	|	7274507	|	Boopis juergensii	|	species	|		|		|		|	
3906882	|	7274507	|	Boopis chubutensis	|	species	|		|		|		|	
7362739	|	7274507	|	Boopis australis	|	species	|		|		|		|	
3906682	|	7274507	|	Boopis raffaellii	|	species	|		|		|		|	
7274508	|	7274507	|	Boopis anthemoides	|	species	|		|		|		|	
7274544	|	7274507	|	Boopis multicaulis	|	species	|		|		|		|	
7274513	|	6756	|	Moschopsis	|	genus	|		|		|		|	
7724069	|	7274513	|	Moschopsis caleofuensis	|	species	|		|		|		|	
3906846	|	7274513	|	Moschopsis trilobata	|	species	|		|		|		|	
3906723	|	7274513	|	Moschopsis ameghinoi	|	species	|		|		|		|	
3906690	|	7274513	|	Moschopsis monocephala	|	species	|		|		|		|	
7417316	|	7274513	|	Moschopsis leyboldii	|	species	|		|		|		|	
3906864	|	7274513	|	Moschopsis subandina	|	species	|		|		|		|	
8160351	|	7274513	|	Moschopsis rosulata	|	species	|		|		|		|	
7274511	|	6756	|	Nastanthus	|	genus	|		|		|		|	
7440978	|	7274511	|	Nastanthus diazi	|	species	|		|		|		|	
3906871	|	7274511	|	Nastanthus compactus	|	species	|		|		|		|	
3906684	|	7274511	|	Nastanthus caespitosus	|	species	|		|		|		|	
3906784	|	7274511	|	Nastanthus patagonicus	|	species	|		|		|		|	
3906800	|	7274511	|	Nastanthus miersii	|	species	|		|		|		|	
7274528	|	7274511	|	Nastanthus spathulatus	|	species	|		|		|		|	
3906851	|	7274511	|	Nastanthus falklandicus	|	species	|		|		|		|	
3906752	|	7274511	|	Nastanthus scapigerus	|	species	|		|		|		|	
3906878	|	7274511	|	Nastanthus chubutensis	|	species	|		|		|		|	
7274540	|	7274511	|	Nastanthus agglomeratus	|	species	|		|		|		|	
3789900	|	414	|	Argophyllaceae	|	family	|		|		|		|	
8189787	|	3789900	|	Corokia	|	genus	|		|		|		|	
3932888	|	8189787	|	Corokia collenettei	|	species	|		|		|		|	
3932838	|	8189787	|	Corokia ×virgata	|	species	|		|		|		|	
3932943	|	8189787	|	Corokia budcotonea	|	species	|		|		|		|	
3932819	|	8189787	|	Corokia whiteana	|	species	|		|		|		|	
3932860	|	8189787	|	Corokia macrocarpa	|	species	|		|		|		|	
3932914	|	8189787	|	Corokia carpodetoides	|	species	|		|		|		|	
4927547	|	8189787	|	Corokia buddleioides	|	species	|		|		|		|	
3932870	|	8189787	|	Corokia cotoneaster	|	species	|		|		|		|	
7841378	|	3789900	|	Argophyllum	|	genus	|		|		|		|	
3932543	|	7841378	|	Argophyllum vernicosum	|	species	|		|		|		|	
3932726	|	7841378	|	Argophyllum cryptophlebum	|	species	|		|		|		|	
3932651	|	7841378	|	Argophyllum montanum	|	species	|		|		|		|	
3932684	|	7841378	|	Argophyllum laxum	|	species	|		|		|		|	
3932551	|	7841378	|	Argophyllum verae	|	species	|		|		|		|	
7776343	|	7841378	|	Argophyllum lejourdanii	|	species	|		|		|		|	
3932705	|	7841378	|	Argophyllum grunowii	|	species	|		|		|		|	
3932747	|	7841378	|	Argophyllum brevipetalum	|	species	|		|		|		|	
3932630	|	7841378	|	Argophyllum nitidum	|	species	|		|		|		|	
3932715	|	7841378	|	Argophyllum ellipticum	|	species	|		|		|		|	
3932606	|	7841378	|	Argophyllum nullumense	|	species	|		|		|		|	
3932771	|	7841378	|	Argophyllum acinetochromum	|	species	|		|		|		|	
3932738	|	7841378	|	Argophyllum brevistylum	|	species	|		|		|		|	
3932694	|	7841378	|	Argophyllum latifolium	|	species	|		|		|		|	
6070956	|	414	|	Compositae	|	family	|		|		|		|	
7339042	|	6070956	|	Onopyxus	|	genus	|		|		|		|	
4255912	|	7339042	|	Onopyxus carlinifolius	|	species	|		|		|		|	
