id	replacement
549726	41568
260265	159686
128740	41604
1676960	1392590
98699	34236
98694	34220
128715	128717
379146	587548
1205709	687668
261640	268111
1120094	98710
379252	112369
49784	41664
49783	13754
49782	13731
49781	41630
49746	18101
98789	98707
98706	34243
98701	34239
98702	34241
74743	4382
36497	4231
211079	112408
284018	18101
1241137	440379
1591276	983245
176540	53725
933797	415155
1301342	436200
1542383	882373
262740	358083
1891504	75950
1652693	138091
1241223	239460
1241217	103995
1134905	274419
1134904	909183
1134903	909173
1337404	58527
415158	318063
415157	59425
405759	189232
190716	34225
672810	662753
1720372	1249080
428174	103997
34219	18101
428157	239472
1653875	1400656
1653876	996386
1653882	1400695
1327756	99082
883030	883029
189236	252537
226891	18101
285216	500720
1196502	191245
1161876	197990
1241033	428199
1231685	422315
1241016	239430
1755150	1754170
428210	94286
1338476	1338475
1087471	99032
992240	174453
1196847	1155252
1400686	996401
1282955	428159
1282956	1241134
1282997	1241221
382029	147775
264978	119182
480635	235357
454326	324593
673755	379119
1582619	1445454
1341848	1672634
1303653	71035
191627	76706
1462986	943723
1690498	493363
113648	73978
113647	73976
113646	73975
113645	73974
113651	73986
113650	41614
125666	261811
1852631	1249080
523991	493362
45321	87010
487769	189235
151999	34222
487761	189235
1582602	268274
101602	101596
101590	51268
69406	41486
69407	41486
1569466	1115796
1793836	59439
1304672	547782
1304671	526930
231009	223868
220345	152196
174479	72911
509659	310245
509676	509653
268350	268033
185188	183075
102817	219121
630329	261800
996403	648874
630336	261802
1570322	1569430
1232206	859427
439889	428160
1742424	1567018
330482	330154
269360	268003
1826618	1547562
268096	261607
268085	174463
996326	691051
355894	102773
268071	269345
268076	212681
268075	58650
389208	105349
1221659	221192
1221658	221202
1221657	268045
1533297	268356
1329807	145795
268102	75950
1004890	101473
1678347	1392583
1641088	1735420
1641087	1735419
1678358	1392603
1678359	1392610
1678354	1392609
1678355	1392596
1678356	1392597
1678357	1392598
1439926	1439927
413016	328055
1053351	183030
344875	99030
305377	41635
305380	145826
329332	50219
103748	102764
103747	102763
1572682	669130
378334	284544
163415	154254
163409	125342
1573935	74787
56529	56520
1885120	261649
259856	82755
1535753	1535754
259851	58647
259850	58643
163399	154247
328051	121177
328050	456516
328052	113416
282215	158232
282200	512608
333957	205366
692143	363438
379305	702250
1548891	313947
525985	554211
947917	378341
947912	243805
1209485	318063
1209486	415154
1885240	1462690
261812	152196
947971	616994
1428941	500720
1849769	654966
1849771	1325996
127981	99056
559230	435381
559229	435381
559227	435381
559228	435381
54174	85554
54171	85554
1670923	1670870
1246516	259878
1246520	1246519
910529	274419
910527	274434
910530	274422
199525	71036
199524	71035
199507	71039
1522213	1220051
330169	102761
669630	509675
1224801	82756
1692176	165083
352823	114289
496647	1227316
496626	41622
122545	43208
122544	221188
147796	161863
93936	93935
312095	58645
1211611	1211485
554188	525950
554183	525940
196744	196731
300127	71065
300134	196515
505278	244161
171772	13481
1381459	1381465
1115801	457744
1442800	1400647
1442802	1400652
184936	122583
184937	122584
1563976	102789
205377	217469
78521	125629
1211479	75960
1211469	261772
399411	55843
925450	77562
112795	576424
183100	149409
92909	254681
1094603	123806
183099	4246
1727893	1727896
183079	53737
183078	53736
183040	149446
183041	149447
183045	102792
1727882	282722
1727884	282722
183027	53580
279371	59432
279372	59422
278098	51276
351291	351341
1071896	211151
351298	351342
89469	41568
557644	119177
1727944	127999
557627	73992
1442796	1400696
1442797	1400660
278100	159661
29716	4227
1249816	58653
557716	73989
557717	73990
1749398	1629609
378871	55840
41567	13422
197989	16481
984075	378879
1128768	434668
159696	13423
183305	149422
1079204	1079205
171341	51268
41556	51277
1006349	317050
1539867	221190
158235	158232
87002	13547
1809699	1809698
378946	378959
41621	13546
90794	125757
191151	144192
697612	324586
99102	55611
348856	77563
347523	50282
310243	268033
492261	441193
589837	99028
589820	158232
182993	183306
182997	183302
4213	4212
4259	166919
214500	212681
466079	128002
466077	282741
466074	463589
466071	463591
466067	413653
239429	40568
239442	40568
239437	40568
4380	4209
1406381	1400651
1155860	99072
28914	28917
28912	28913
128003	99108
313974	264977
313949	81505
1871908	77563
313918	159630
526032	254762
871886	261608
871876	261610
418264	418268
252539	1211485
649655	428162
649651	361377
649660	239443
649674	421875
649670	614176
406257	189233
253511	85225
904568	462382
904596	422328
1795080	1582527
880046	764923
50218	50190
362621	145823
50220	50196
362627	41639
1325987	509657
146999	146995
858919	462381
904413	176514
1348705	378896
870723	53719
637486	223870
637487	223870
313881	145499
1227642	1171842
434643	211150
687680	137759
434624	83961
434623	83958
1721062	99086
1721066	379266
145815	75635
1129158	252537
313537	145805
313539	145798
313521	145492
313520	145795
313511	305387
313514	123801
313515	143189
313518	143195
313517	143194
904809	109565
182813	170372
1240365	259885
1240364	259878
143186	145499
541154	112349
170728	90033
434699	211149
49597	41865
217842	169611
217843	53580
