name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Campanulales	|	4209	|	includes	|	Campanulales (synonym for Asterales)	|	ncbi:4209	|	
Abrophyllaceae	|	85554	|	includes	|	Abrophyllaceae (synonym for Rousseaceae)	|	ncbi:85554	|	
Carpodetaceae	|	85554	|	includes	|	Carpodetaceae (synonym for Rousseaceae)	|	ncbi:85554	|	
Donatiaceae	|	41865	|	includes	|	Donatiaceae (synonym for Stylidiaceae)	|	ncbi:41865	|	
Compositae	|	4210	|	synonym	|	Compositae (synonym for Asteraceae)	|	ncbi:4210	|	
Hypsela	|	4382	|	includes	|	Hypsela (synonym for Lobelia)	|	ncbi:4382	|	
Campanulastrum Small, 1903	|	40568	|	includes	|	Campanulastrum Small, 1903 (synonym for Campanula)	|	ncbi:40568	|	
Diosphaera	|	40568	|	includes	|	Diosphaera (synonym for Campanula)	|	ncbi:40568	|	
Gadellia	|	40568	|	includes	|	Gadellia (synonym for Campanula)	|	ncbi:40568	|	
Hecastocleoideae	|	219094	|	synonym	|	Hecastocleoideae (synonym for Hecastocleidoideae)	|	ncbi:219094	|	
Asteraceae Espinoza5656	|	1123480	|	synonym	|	Asteraceae Espinoza5656 (synonym for Asteraceae sp. Espinoza5656)	|	ncbi:1123480	|	
Asteraceae Espinoza5657	|	1123481	|	synonym	|	Asteraceae Espinoza5657 (synonym for Asteraceae sp. Espinoza5657)	|	ncbi:1123481	|	
Asteraceae Espinoza5721	|	1123483	|	synonym	|	Asteraceae Espinoza5721 (synonym for Asteraceae sp. Espinoza5721)	|	ncbi:1123483	|	
Asteraceae Espinoza5707	|	1123482	|	synonym	|	Asteraceae Espinoza5707 (synonym for Asteraceae sp. Espinoza5707)	|	ncbi:1123482	|	
Asteraceae jorge141	|	1123484	|	synonym	|	Asteraceae jorge141 (synonym for Asteraceae sp. jorge141)	|	ncbi:1123484	|	
Asteraceae A.guadamuz339	|	1123479	|	synonym	|	Asteraceae A.guadamuz339 (synonym for Asteraceae sp. A.guadamuz339)	|	ncbi:1123479	|	
Villarsia parnassifolia	|	435387	|	synonym	|	Villarsia parnassifolia (synonym for Villarsia parnassiifolia)	|	ncbi:435387	|	
Limnanthemum violifolium	|	507527	|	synonym	|	Limnanthemum violifolium (synonym for Villarsia violifolia)	|	ncbi:507527	|	
Renealmia violifolia	|	507527	|	synonym	|	Renealmia violifolia (synonym for Villarsia violifolia)	|	ncbi:507527	|	
Menyanthaceae sp. Jacobs 9376	|	435381	|	includes	|	Menyanthaceae sp. Jacobs 9376 (synonym for Nymphoides montana)	|	ncbi:435381	|	
Menyanthaceae sp. Moody 477	|	435381	|	includes	|	Menyanthaceae sp. Moody 477 (synonym for Nymphoides montana)	|	ncbi:435381	|	
Menyanthaceae sp. Pagels s.n.	|	435381	|	includes	|	Menyanthaceae sp. Pagels s.n. (synonym for Nymphoides montana)	|	ncbi:435381	|	
Nymphoides furculaefolia	|	1118412	|	synonym	|	Nymphoides furculaefolia (synonym for Nymphoides furculifolia)	|	ncbi:1118412	|	
Nymphodes minimum	|	644124	|	synonym	|	Nymphodes minimum (synonym for Nymphoides minima)	|	ncbi:644124	|	
Fauria crista-galli	|	49612	|	synonym	|	Fauria crista-galli (synonym for Nephrophyllidium crista-galli)	|	ncbi:49612	|	
Donatiaceae fascicularis	|	49598	|	misspelling	|	Donatiaceae fascicularis (synonym for Donatia fascicularis)	|	ncbi:49598	|	
Pentaphragma sp. Duangjai 049	|	764923	|	equivalent name	|	Pentaphragma sp. Duangjai 049 (synonym for Pentaphragma sp. Duangjai 49)	|	ncbi:764923	|	
Pentaphragma ellipiticum	|	28495	|	misspelling	|	Pentaphragma ellipiticum (synonym for Pentaphragma ellipticum)	|	ncbi:28495	|	
Phelline billardieri	|	92225	|	misspelling	|	Phelline billardieri (synonym for Phelline billardierei)	|	ncbi:92225	|	
Alseuosmia banksii x Alseuosmia macrophylla	|	490639	|	synonym	|	Alseuosmia banksii x Alseuosmia macrophylla (synonym for Alseuosmia quercifolia)	|	ncbi:490639	|	
Alseuosmia x quercifolia	|	490639	|	synonym	|	Alseuosmia x quercifolia (synonym for Alseuosmia quercifolia)	|	ncbi:490639	|	
Cyanthus lobatus	|	28490	|	misspelling	|	Cyanthus lobatus (synonym for Cyananthus lobatus)	|	ncbi:28490	|	
Lobelia sp. EBK-2007c	|	471952	|	includes	|	Lobelia sp. EBK-2007c (synonym for Lobelia fugax)	|	ncbi:471952	|	
Lobelia sp. EBK-2007b	|	471951	|	includes	|	Lobelia sp. EBK-2007b (synonym for Lobelia fatiscens)	|	ncbi:471951	|	
Hypsela reniformis	|	74744	|	synonym	|	Hypsela reniformis (synonym for Lobelia oligophylla)	|	ncbi:74744	|	
Lobelia sp. EBK-2007a	|	471950	|	includes	|	Lobelia sp. EBK-2007a (synonym for Lobelia carens)	|	ncbi:471950	|	
Lobelia giberroa	|	360853	|	synonym	|	Lobelia giberroa (synonym for Lobelia gibberoa)	|	ncbi:360853	|	
non Lobelia excelsa Lesch. ex Roxb.	|	360852	|	synonym	|	non Lobelia excelsa Lesch. ex Roxb. (synonym for Lobelia excelsa)	|	ncbi:360852	|	
