uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
4209	|		|	Asterales	|	order	|		|		|		|	
41864	|	4209	|	Pentaphragmataceae	|	family	|		|		|		|	
26847	|	41864	|	Pentaphragma	|	genus	|		|		|		|	
28495	|	26847	|	Pentaphragma ellipticum	|	species	|		|		|		|	
650339	|	26847	|	Pentaphragma sp. CAM43	|	species	|		|		|		|	
764923	|	26847	|	Pentaphragma sp. Duangjai 49	|	species	|		|		|		|	
41860	|	4209	|	Calyceraceae	|	family	|		|		|		|	
49609	|	41860	|	Moschopsis	|	genus	|		|		|		|	
49610	|	49609	|	Moschopsis rosulata	|	species	|		|		|		|	
49580	|	41860	|	Acicarpha	|	genus	|		|		|		|	
1611266	|	49580	|	Acicarpha procumbens	|	species	|		|		|		|	
49581	|	49580	|	Acicarpha tribuloides	|	species	|		|		|		|	
496614	|	49580	|	Acicarpha spathulata	|	species	|		|		|		|	
1131398	|	41860	|	Gamocarpha	|	genus	|		|		|		|	
1131399	|	1131398	|	Gamocarpha alpina	|	species	|		|		|		|	
1131400	|	1131398	|	Gamocarpha selliana	|	species	|		|		|		|	
171794	|	41860	|	Calycera	|	genus	|		|		|		|	
171795	|	171794	|	Calycera calcitrapa	|	species	|		|		|		|	
516719	|	171794	|	Calycera crassifolia	|	species	|		|		|		|	
516718	|	171794	|	Calycera cf. spinulosa TS 12888	|	species	|		|		|		|	
13360	|	41860	|	Boopis	|	genus	|		|		|		|	
1131397	|	13360	|	Boopis gracilis	|	species	|		|		|		|	
13361	|	13360	|	Boopis anthemoides	|	species	|		|		|		|	
86860	|	13360	|	Boopis graminea	|	species	|		|		|		|	
516708	|	41860	|	Nastanthus	|	genus	|		|		|		|	
516709	|	516708	|	Nastanthus spathulatus	|	species	|		|		|		|	
1542510	|	516708	|	Nastanthus sp. Iharlegui 2995	|	species	|		|		|		|	
1532453	|	516708	|	Nastanthus caespitosus	|	species	|		|		|		|	
1131401	|	516708	|	Nastanthus patagonicus	|	species	|		|		|		|	
57707	|	4209	|	Argophyllaceae	|	family	|		|		|		|	
49586	|	57707	|	Argophyllum	|	genus	|		|		|		|	
49587	|	49586	|	Argophyllum sp. Telford 5462	|	species	|		|		|		|	
