id	replacement
3892327	385585
5328788	5503101
3892313	5232461
3892316	5232460
3892347	5232470
356406	5536969
5507474	590452
5507477	1086294
5507479	590452
5507471	590452
5302179	1042120
3894955	136231
5507480	1086294
5507481	590452
5328714	5507654
863991	5537065
5507505	5507702
920276	5507582
5507586	5507594
5507560	1045587
5507563	194039
5507567	502000
5507531	5507594
5507534	5328485
5507533	5507684
5507542	4727690
5507515	5507653
5507525	5507557
3894859	234586
3894827	25038
3894849	524330
5507590	864170
3894838	265951
5507615	5507594
5507614	4727463
5507622	5507557
85438	341876
5507608	5327858
5507679	4728115
5507670	5479158
5507688	1021694
5507687	5507632
5507656	4727833
5507661	4727623
5507639	5507653
5507638	4728200
5507641	4727722
5507643	5495122
3894746	5537514
3894765	167578
5328516	5494830
3894787	519450
3894791	1021882
5507733	5328693
5507739	4728158
5507732	5507625
5507712	5507671
5507718	968337
5507701	10914
608332	259770
765707	765703
5507779	1092831
5507774	5507653
5507783	616821
5507756	5507594
5507763	5507680
3894613	13131
777778	5507521
464144	5507762
3894661	27249
356396	5536959
812770	5507675
3900032	5541689
3900008	5541684
3900002	5513270
287762	5507566
3892843	888135
550329	1026265
3900052	5541693
5510785	5507486
180790	22455
515823	3896729
5739985	202600
4727945	10905
417272	5536943
5328929	5275815
5328891	1086294
1098312	180784
5507458	670513
5507451	5507447
5507455	1086294
5507454	590452
5507456	691973
515694	5507663
5507462	5507476
5507461	590452
5507464	670513
5507466	691973
5507465	590452
5507468	5507448
5507467	5507472
5507449	1086294
5507440	590452
5507442	533062
4727751	49204
5507444	1086294
5507443	590452
5507446	590452
5507445	708051
557377	5536918
378659	969732
3896769	155229
3894106	49202
743283	5507457
743280	5507470
3896780	287222
3896786	674076
3896788	631147
234808	5537342
3896779	151030
3894142	916915
3894150	1086845
5794298	56264
782987	5507649
3896643	487021
3894008	81824
3896663	1013041
3894001	69387
3896665	328691
3894003	603446
3894007	152269
3894069	888052
148187	4728020
5794339	81124
692613	5507573
5336107	5328316
5794659	290596
1001033	5507565
5794683	1022083
295609	5507529
5794675	239833
71940	587342
533078	5507476
5794582	1019547
20465	999371
3894528	1003034
792617	5495122
780688	5541677
692375	4727661
175505	607379
3894535	295224
44440	5507713
780694	5541653
728157	726015
19541	5507583
56581	5507702
3894450	560345
3894486	265948
3894476	432357
3894441	792067
3894444	350270
5336743	346037
5336742	346037
655286	5507510
3896927	288832
19683	5507655
3896945	400689
3896941	905992
3896903	359947
1066791	451674
3896980	1095920
439497	5536705
3896979	1095906
3896971	1095918
3896970	287759
3896973	1095916
3896972	809708
1042853	5541668
210209	5507596
3894383	82717
3894374	484226
3894398	85408
934687	5537053
3896804	678384
3896811	5536641
995430	5507632
3896883	650818
3894214	372390
3896843	735686
3896845	735683
3896844	827561
3896830	1078375
3896834	212028
3896857	765218
3896853	475551
452500	5507758
391024	916916
3894264	391028
329149	5507620
897118	5507728
4728181	5507568
708046	5513175
4728172	7333
4728173	851855
4728160	183714
81827	3893989
1066135	5507653
3898540	5537153
483387	5537069
769020	5507749
3898563	83905
3898567	747350
3898508	5537180
3898520	1076649
182171	5507719
3898519	5537375
4728129	569335
206813	5513223
3898595	747355
3898599	5537352
409565	5537067
711746	5536792
3898440	5537454
3898434	802601
4728034	5507709
194037	765703
916906	5507629
3898464	5513222
3898468	5513237
3898472	5513232
3898476	5513241
1078381	761940
5502897	1084532
5502896	1084532
5502895	1086303
5502894	3826
914604	5507625
3898360	5513271
3898355	732248
3898357	5536716
794350	5537079
532483	5507557
3898941	5522325
3898944	5522329
3898931	5522320
3898967	96925
3898903	257895
3898929	927424
3898987	1045347
3898972	54019
3898999	845839
3898843	5537150
3898837	5537156
1095802	906030
3898891	37043
3896260	5232420
434005	5507610
706032	910052
172606	5541635
3898728	5513272
3898735	5537337
436307	5507690
270849	659066
3898629	5537356
3898612	173168
3898616	940366
3898638	747343
3896099	172885
510819	5507671
5522216	5522262
5522214	5522331
5522213	569734
5522219	5522262
5522218	5522262
5522217	5522262
5536879	437366
5536882	800963
5536880	5536881
5536897	621466
5536899	5536902
5536898	418354
845259	590452
263302	5507742
5522299	3898985
5522298	541005
5522292	5522262
5522291	19690
5522290	5522262
5522296	5522262
5522295	5522262
5522294	384931
5522293	64653
5522289	64653
5522288	119723
5522287	5522262
5522286	64653
5522281	5522262
5522280	64653
5522285	384931
5522284	64653
5522283	384931
5522282	384931
5522278	5522262
5522277	541005
5522276	64653
5522275	5522262
5522279	71419
5536802	315599
5536800	5536793
5536806	608094
5522270	5522262
5536805	608092
5536804	608094
