name	|	uid	|	type	|	uniqname	|	
Pyrethrum mucronulatum	|	3899234	|		|	Pyrethrum mucronulatum (synonym for Tanacetum mucronulatum)	|	
Senecio hypsobates Wedd.	|	892911	|		|	Senecio hypsobates Wedd. (synonym for Senecio hypsobates)	|	
Artemisia insulana Krasch.	|	195218	|		|	Artemisia insulana Krasch. (synonym for Artemisia insulana)	|	
Aster subspicatus Nees	|	90418	|		|	Aster subspicatus Nees (synonym for Symphyotrichum subspicatum)	|	
Symphyandra zangezura Lipsky	|	360903	|		|	Symphyandra zangezura Lipsky (synonym for Campanula zangezura)	|	
Ixeris chinenis	|	861688	|		|	Ixeris chinenis (synonym for Ixeridium chinense)	|	
Campanula napuligera	|	884307	|		|	Campanula napuligera (synonym for Campanula serrata)	|	
Elephantopus sordidus	|	1093016	|		|	Elephantopus sordidus (synonym for Elephantopus scaber)	|	
Chrysanthemum speciosum	|	143330	|		|	Chrysanthemum speciosum (synonym for Argyranthemum coronopifolium)	|	
Goodenia decurrens R.Br.	|	531865	|		|	Goodenia decurrens R.Br. (synonym for Goodenia decurrens)	|	
Lobelia subracemosa	|	3893004	|		|	Lobelia subracemosa (synonym for Lobelia heyneana)	|	
Catananche montana Coss. & Durieu	|	338777	|		|	Catananche montana Coss. & Durieu (synonym for Catananche montana)	|	
Solidago microphylla	|	3898779	|		|	Solidago microphylla (synonym for Solidago delicatula)	|	
Conyza viscosa	|	622605	|		|	Conyza viscosa (synonym for Pseudoconyza viscosa)	|	
Sclerocarpus gracilis	|	3899653	|		|	Sclerocarpus gracilis (synonym for Madia gracilis)	|	
Apetahia Baill.	|	294578	|		|	Apetahia Baill. (synonym for Apetahia)	|	
Crepis dioritica Schott & Kotschy ex Boiss.	|	385985	|		|	Crepis dioritica Schott & Kotschy ex Boiss. (synonym for Crepis dioritica)	|	
Alseuosmia x quercifolia	|	5144398	|		|	Alseuosmia x quercifolia (synonym for Alseuosmia quercifolia)	|	
Codonopsis bodinieri	|	533090	|		|	Codonopsis bodinieri (synonym for Codonopsis lanceolata)	|	
Asterothamnus centraliasiaticus Novopokr.	|	488980	|		|	Asterothamnus centraliasiaticus Novopokr. (synonym for Asterothamnus centraliasiaticus)	|	
Sinclairia cervina (B.L.Rob.) B.L.Turner	|	535788	|		|	Sinclairia cervina (B.L.Rob.) B.L.Turner (synonym for Liabellum cervinum)	|	
Taraxacum fontanicolum	|	435668	|		|	Taraxacum fontanicolum (synonym for Taraxacum fontanicola)	|	
Taraxacum nobile Kirschner & Stepanek	|	738082	|		|	Taraxacum nobile Kirschner & Stepanek (synonym for Taraxacum nobile)	|	
Asyneuma virgatum (Labill.) Bornm.	|	493399	|		|	Asyneuma virgatum (Labill.) Bornm. (synonym for Asyneuma virgatum)	|	
Brachycome heterodonta	|	482158	|		|	Brachycome heterodonta (synonym for Brachyscome heterodonta)	|	
Arctium montanum	|	756713	|		|	Arctium montanum (synonym for Arctium minus)	|	
Gymnarrhena Desf.	|	756280	|		|	Gymnarrhena Desf. (synonym for Gymnarrhena)	|	
Anisopappus oliveranus	|	908507	|		|	Anisopappus oliveranus (synonym for Anisopappus oliverianus)	|	
Crepis runcinata var. alpicola	|	661389	|		|	Crepis runcinata var. alpicola (synonym for Crepis runcinata)	|	
Ajania globularia	|	115023	|		|	Ajania globularia (synonym for Artemisia globularia)	|	
Encelia conspersa Benth.	|	743941	|		|	Encelia conspersa Benth. (synonym for Encelia conspersa)	|	
Crepis nigrescens Pohle	|	428329	|		|	Crepis nigrescens Pohle (synonym for Crepis nigrescens)	|	
Artemisia stracheyi	|	583485	|		|	Artemisia stracheyi (synonym for Artemisiella stracheyi)	|	
Jacobaea ambigua subsp. nebrodensis (Guss.) Peruzzi, N.G.Passal. & C.E.Jarvis	|	1018302	|		|	Jacobaea ambigua subsp. nebrodensis (Guss.) Peruzzi, N.G.Passal. & C.E.Jarvis (synonym for Jacobaea ambigua subsp. nebrodensis)	|	
Downingia mirabilis	|	977491	|		|	Downingia mirabilis (synonym for Downingia ornatissima)	|	
Crepis vandasii	|	3896651	|		|	Crepis vandasii (synonym for Crepis pantocsekii)	|	
Lyrolepis piae	|	747604	|		|	Lyrolepis piae (synonym for Carlina diae)	|	
Tanacetum sonbolii Mozaff.	|	830571	|		|	Tanacetum sonbolii Mozaff. (synonym for Tanacetum sonbolii)	|	
Eupatorium cynanchifolium	|	4727377	|		|	Eupatorium cynanchifolium (synonym for Koanophyllon villosum)	|	
Leiocarpa tomentosa (Sond.) Paul G.Wilson	|	359927	|		|	Leiocarpa tomentosa (Sond.) Paul G.Wilson (synonym for Leiocarpa tomentosa)	|	
Symphyandra zangezura	|	360903	|		|	Symphyandra zangezura (synonym for Campanula zangezura)	|	
Senecio taiwanensis	|	742737	|		|	Senecio taiwanensis (synonym for Senecio nemorensis)	|	
Ichthyothere rufa Gardn.	|	685413	|		|	Ichthyothere rufa Gardn. (synonym for Ichthyothere rufa)	|	
Lessingia lemmonii var. peirsonii (J.T.Howell) R.S.Ferris	|	203077	|		|	Lessingia lemmonii var. peirsonii (J.T.Howell) R.S.Ferris (synonym for Lessingia glandulifera var. peirsonii)	|	
Campanula teucrioides Boiss.	|	315072	|		|	Campanula teucrioides Boiss. (synonym for Campanula teucrioides)	|	
Stevia lita Grashoff	|	431730	|		|	Stevia lita Grashoff (synonym for Stevia lita)	|	
Leucomeris spectabilis D.Don	|	317681	|		|	Leucomeris spectabilis D.Don (synonym for Leucomeris spectabilis)	|	
Cousinia abolinii Kult. ex Tscherneva	|	368328	|		|	Cousinia abolinii Kult. ex Tscherneva (synonym for Arctium abolinii)	|	
Anthemis ammanthus Greuter	|	729666	|		|	Anthemis ammanthus Greuter (synonym for Anthemis ammanthus)	|	
Osteospermum vaillantii	|	4727339	|		|	Osteospermum vaillantii (synonym for Tripteris vaillantii)	|	
Senecio patens (Kunth) DC.	|	1043233	|		|	Senecio patens (Kunth) DC. (synonym for Senecio patens)	|	
Artemisia dolosa Krasch.	|	115021	|		|	Artemisia dolosa Krasch. (synonym for Artemisia dolosa)	|	
Pteronia camphorata (L.) L.	|	584638	|		|	Pteronia camphorata (L.) L. (synonym for Pteronia camphorata)	|	
Centaurea hypericifolia	|	404588	|		|	Centaurea hypericifolia (synonym for Cheirolophus canariensis)	|	
Tragopogon charadzeae	|	541616	|		|	Tragopogon charadzeae (synonym for Tragopogon charadzae)	|	
Jurinea velenovskyi	|	295454	|		|	Jurinea velenovskyi (synonym for Jurinea consanguinea)	|	
Siphocampylus canus	|	295776	|		|	Siphocampylus canus (synonym for Siphocampylus macropodus)	|	
Senecio laciniatus Kunth	|	770127	|		|	Senecio laciniatus Kunth (synonym for Dorobaea laciniata)	|	
Seriphidium rigidum	|	202548	|		|	Seriphidium rigidum (synonym for Artemisia rigida)	|	
Liatris froslii	|	3899942	|		|	Liatris froslii (synonym for Liatris frostii)	|	
Silphium gracile	|	356398	|		|	Silphium gracile (synonym for Silphium radula var. gracile)	|	
Pyrethrum pinnatifidum	|	839582	|		|	Pyrethrum pinnatifidum (synonym for Argyranthemum pinnatifidum)	|	
Siphocampylus verbascifolius	|	3893593	|		|	Siphocampylus verbascifolius (synonym for Centropogon verbascifolius)	|	
Artemisia samojedorum	|	297224	|		|	Artemisia samojedorum (synonym for Artemisia samoiedorum)	|	
Crepis alpicola (Rydb.) A.Nelson	|	661389	|		|	Crepis alpicola (Rydb.) A.Nelson (synonym for Crepis runcinata)	|	
Callistemma indicum	|	608334	|		|	Callistemma indicum (synonym for Aster indicus)	|	
Bidens pachyloma (Oliv. & Hiern) Cufod.	|	1057402	|		|	Bidens pachyloma (Oliv. & Hiern) Cufod. (synonym for Bidens pachyloma)	|	
Pratia zeylanica	|	894904	|		|	Pratia zeylanica (synonym for Pratia nummularia)	|	
Centropogon vinosus	|	320860	|		|	Centropogon vinosus (synonym for Centropogon granulosus)	|	
Dortmanna eckloniana	|	3893099	|		|	Dortmanna eckloniana (synonym for Lobelia filicaulis)	|	
Haplopappus rusbyi	|	946265	|		|	Haplopappus rusbyi (synonym for Isocoma rusbyi)	|	
Centaurea lanata	|	18501	|		|	Centaurea lanata (synonym for Centaurea cyanus)	|	
Osmia graciliflorum	|	332362	|		|	Osmia graciliflorum (synonym for Chromolaena odorata)	|	
Galinsoga laciniata	|	481307	|		|	Galinsoga laciniata (synonym for Galinsoga parviflora)	|	
Lobelia urticifolia	|	3893129	|		|	Lobelia urticifolia (synonym for Lobelia longicaulis)	|	
Andryala canariensis	|	151034	|		|	Andryala canariensis (synonym for Andryala pinnatifida)	|	
Scorzonera autumnalis	|	220789	|		|	Scorzonera autumnalis (synonym for Scorzoneroides autumnalis)	|	
Ericameria cervina (S.Watson) Rydb.	|	274343	|		|	Ericameria cervina (S.Watson) Rydb. (synonym for Ericameria cervina)	|	
Aster argenteus	|	336712	|		|	Aster argenteus (synonym for Symphyotrichum sericeum)	|	
Delissea keaensis	|	3893472	|		|	Delissea keaensis (synonym for Cyanea fissa)	|	
Taraxacum lilaceum	|	3895915	|		|	Taraxacum lilaceum (synonym for Taraxacum floccosum)	|	
Atractylodes carlinoides (Hand.-Mazz.) Kitamura	|	400632	|		|	Atractylodes carlinoides (Hand.-Mazz.) Kitamura (synonym for Atractylodes carlinoides)	|	
Centaurea ulrichiorum Wagenitz, F.H.Hellw. & Parolly	|	367233	|		|	Centaurea ulrichiorum Wagenitz, F.H.Hellw. & Parolly (synonym for Centaurea ulrichiorum)	|	
Cremanthodium lineare Maxim.	|	98471	|		|	Cremanthodium lineare Maxim. (synonym for Cremanthodium lineare)	|	
Centaurea decumbens	|	242075	|		|	Centaurea decumbens (synonym for Centaurea jacea)	|	
Arnica fulgens Pursh	|	101577	|		|	Arnica fulgens Pursh (synonym for Arnica fulgens)	|	
Phyteuma longifolium	|	743259	|		|	Phyteuma longifolium (synonym for Phyteuma orbiculare)	|	
Leucanthemum ircutianum subsp. leucolepis (Briq. & Cavill.) Vogt & Greuter	|	4727326	|		|	Leucanthemum ircutianum subsp. leucolepis (Briq. & Cavill.) Vogt & Greuter (synonym for Leucanthemum ircutianum subsp. leucolepis)	|	
Cordocythere cvetkovi	|	4727819	|		|	Cordocythere cvetkovi (synonym for Kovalevskiella cvetkovi)	|	
Asteriscus morrisonii	|	245282	|		|	Asteriscus morrisonii (synonym for Asteriscus aquaticus)	|	
Cirsium salisburgense	|	167578	|		|	Cirsium salisburgense (synonym for Cirsium carniolicum)	|	
Wahlenbergia kilimandscharica	|	3892506	|		|	Wahlenbergia kilimandscharica (synonym for Wahlenbergia pusilla)	|	
Chrysophthalmum sternutatorium	|	259742	|		|	Chrysophthalmum sternutatorium (synonym for Chrysophthalmum montanum)	|	
Erigeron semiovalis	|	173170	|		|	Erigeron semiovalis (synonym for Erigeron bellioides)	|	
Serratula bierbersteiniana	|	1075183	|		|	Serratula bierbersteiniana (synonym for Klasea biebersteiniana)	|	
Cacaliopsis nardosmia (A.Gray) A.Gray	|	409569	|		|	Cacaliopsis nardosmia (A.Gray) A.Gray (synonym for Cacaliopsis nardosmia)	|	
Chuquiraga weberbaueri Tovar	|	457380	|		|	Chuquiraga weberbaueri Tovar (synonym for Chuquiraga weberbaueri)	|	
Campanula algida	|	513848	|		|	Campanula algida (synonym for Campanula lasiocarpa)	|	
Bellis americana	|	877564	|		|	Bellis americana (synonym for Astranthium integrifolium)	|	
Cirsium leucanicum	|	597707	|		|	Cirsium leucanicum (synonym for Cirsium vulgare)	|	
Cephalorhyncus	|	336640	|		|	Cephalorhyncus (synonym for Cephalorrhynchus)	|	
Campanula akgulii	|	659061	|		|	Campanula akgulii (synonym for Campanula akguelii)	|	
Brachanthemum pulvinatum (Hand.-Mazz.) C.Shih	|	1010000	|		|	Brachanthemum pulvinatum (Hand.-Mazz.) C.Shih (synonym for Brachanthemum pulvinatum)	|	
Ormenis pseudo-santolina	|	907530	|		|	Ormenis pseudo-santolina (synonym for Santolina africana)	|	
Goodenia campestris Carolin	|	29016	|		|	Goodenia campestris Carolin (synonym for Goodenia campestris)	|	
Centaurea erivanensis	|	3894438	|		|	Centaurea erivanensis (synonym for Psephellus erivanensis)	|	
Leucocyclus	|	828101	|		|	Leucocyclus (synonym for Achillea)	|	
Campanopsis dalmatica	|	410738	|		|	Campanopsis dalmatica (synonym for Edraianthus dalmaticus)	|	
Pilosella thyrsoidea	|	794157	|		|	Pilosella thyrsoidea (synonym for Hieracium abscissum)	|	
Hieracium piloselloides subsp. obscurum Zahn	|	752650	|		|	Hieracium piloselloides subsp. obscurum Zahn (synonym for Hieracium piloselloides subsp. obscurum)	|	
Carduaceae	|	46248	|		|	Carduaceae (synonym for Asteraceae)	|	
Grossheimia caroli-henrici	|	3894245	|		|	Grossheimia caroli-henrici (synonym for Centaurea caroli-henrici)	|	
Anthemis valentina	|	195133	|		|	Anthemis valentina (synonym for Anacyclus radiatus)	|	
Amphipappus fremontii Torr. & A.Gray	|	858438	|		|	Amphipappus fremontii Torr. & A.Gray (synonym for Amphipappus fremontii)	|	
Taraxacum vitabile	|	3895662	|		|	Taraxacum vitabile (synonym for Taraxacum vindobonense)	|	
Gamochaeta purpurea (L.) Cabrera	|	327293	|		|	Gamochaeta purpurea (L.) Cabrera (synonym for Gamochaeta purpurea)	|	
Senecio abrotanifolius	|	691378	|		|	Senecio abrotanifolius (synonym for Jacobaea abrotanifolia)	|	
Sinclairia pringlei	|	569930	|		|	Sinclairia pringlei (synonym for Megaliabum pringlei)	|	
Cyanus tchihatcheffii	|	569823	|		|	Cyanus tchihatcheffii (synonym for Centaurea tchihatcheffii)	|	
Crocodilodes pinnatifidum	|	1096952	|		|	Crocodilodes pinnatifidum (synonym for Berkheya pinnatifida)	|	
Crepis lusitanica	|	949962	|		|	Crepis lusitanica (synonym for Crepis capillaris)	|	
Anthemis palaestina	|	1014623	|		|	Anthemis palaestina (synonym for Cota amblyolepis)	|	
Boopis anthemoides Juss.	|	725930	|		|	Boopis anthemoides Juss. (synonym for Boopis anthemoides)	|	
Baccharis auriculata	|	296814	|		|	Baccharis auriculata (synonym for Blumea lacera)	|	
Legousia speculum-veneris (L.) Chaix	|	117714	|		|	Legousia speculum-veneris (L.) Chaix (synonym for Legousia speculum-veneris)	|	
Centaurea aeolica	|	887148	|		|	Centaurea aeolica (synonym for Centaurea aplolepa)	|	
Barkhausia rigida	|	1063300	|		|	Barkhausia rigida (synonym for Crepis pannonica)	|	
Wahlenbergia adpressa Sond.	|	235617	|		|	Wahlenbergia adpressa Sond. (synonym for Wahlenbergia adpressa)	|	
Coleosanthus mohavensis	|	978370	|		|	Coleosanthus mohavensis (synonym for Brickellia oblongifolia)	|	
Campanula mikoi	|	631477	|		|	Campanula mikoi (synonym for Adenophora liliifolia)	|	
Cephalobembix neomexicana	|	3899593	|		|	Cephalobembix neomexicana (synonym for Schkuhria multiflora)	|	
Plagius ageratifolius	|	614002	|		|	Plagius ageratifolius (synonym for Plagius flosculosus)	|	
Brachyglottis revoluta (Kirk) B.Nord.	|	761674	|		|	Brachyglottis revoluta (Kirk) B.Nord. (synonym for Brachyglottis revoluta)	|	
Soliva sessilis Ruiz & Pav.	|	532259	|		|	Soliva sessilis Ruiz & Pav. (synonym for Soliva sessilis)	|	
Cirsium rhiphaeum	|	435898	|		|	Cirsium rhiphaeum (synonym for Ptilostemon rhiphaeus)	|	
Helianthella uniflora (Nutt.) Torr. & A.Gray	|	1010688	|		|	Helianthella uniflora (Nutt.) Torr. & A.Gray (synonym for Helianthella uniflora)	|	
Tanacetum polycephalum Sch.Bip.	|	377239	|		|	Tanacetum polycephalum Sch.Bip. (synonym for Tanacetum polycephalum)	|	
Sonchus acaulis Dum.-Cours.	|	761942	|		|	Sonchus acaulis Dum.-Cours. (synonym for Sonchus acaulis)	|	
Chrysanthemum grandiflorum	|	614000	|		|	Chrysanthemum grandiflorum (synonym for Plagius grandis)	|	
Senecio koreanus	|	809318	|		|	Senecio koreanus (synonym for Sinosenecio koreanus)	|	
Taraxacum oxyodon	|	3896354	|		|	Taraxacum oxyodon (synonym for Taraxacum acutangulum)	|	
Echinops multiflorus	|	25036	|		|	Echinops multiflorus (synonym for Echinops sphaerocephalus)	|	
Dicoma antunesii O.Hoffm.	|	1046707	|		|	Dicoma antunesii O.Hoffm. (synonym for Dicoma antunesii)	|	
Viguiera pachycephala (DC.) Hemsl.	|	553185	|		|	Viguiera pachycephala (DC.) Hemsl. (synonym for Viguiera pachycephala)	|	
Campanula humillima A.DC.	|	453444	|		|	Campanula humillima A.DC. (synonym for Campanula humillima)	|	
Sinoleontopodium lingianum	|	376266	|		|	Sinoleontopodium lingianum (synonym for Leontopodium lingianum)	|	
Centaurea cachinalensis Phil.	|	197708	|		|	Centaurea cachinalensis Phil. (synonym for Centaurea cachinalensis)	|	
Senecio arcticus	|	214322	|		|	Senecio arcticus (synonym for Tephroseris palustris)	|	
Hieracium glaucovirens	|	3897512	|		|	Hieracium glaucovirens (synonym for Hieracium subglaucovirens)	|	
Conyza canariensis	|	20460	|		|	Conyza canariensis (synonym for Allagopappus canariensis)	|	
Cyanea kuhihewa Lammers	|	970556	|		|	Cyanea kuhihewa Lammers (synonym for Cyanea kuhihewa)	|	
Centaurea novakii	|	4727064	|		|	Centaurea novakii (synonym for Cyanus novakii)	|	
Eupatorium axillare	|	1007557	|		|	Eupatorium axillare (synonym for Brickellia californica)	|	
Stevia collodes	|	1079882	|		|	Stevia collodes (synonym for Stevia salicifolia)	|	
Centaurea macrorrhiza	|	70326	|		|	Centaurea macrorrhiza (synonym for Centaurea toletana)	|	
Centaurea fastigiata	|	3894133	|		|	Centaurea fastigiata (synonym for Centaurea kanitziana)	|	
black-salsify	|	485931	|		|	black-salsify (synonym for Scorzonera hispanica)	|	
Heliantheae Cass., 1819	|	557772	|		|	Heliantheae Cass., 1819 (synonym for Heliantheae)	|	
Oglifa californica	|	518944	|		|	Oglifa californica (synonym for Filago californica)	|	
Bubonium sericeum	|	931541	|		|	Bubonium sericeum (synonym for Asteriscus sericeus)	|	
Achillea absinthoides Halacsy	|	295548	|		|	Achillea absinthoides Halacsy (synonym for Achillea absinthoides)	|	
Acosta spinosa	|	569818	|		|	Acosta spinosa (synonym for Centaurea spinosa)	|	
Crepis glabra	|	1016032	|		|	Crepis glabra (synonym for Crepis biennis)	|	
Senecio lanatus	|	688671	|		|	Senecio lanatus (synonym for Senecio scopolii)	|	
Eurybia radula (Aiton) G.L.Nesom	|	487147	|		|	Eurybia radula (Aiton) G.L.Nesom (synonym for Eurybia radula)	|	
Hieracium cerinthoides L.	|	611345	|		|	Hieracium cerinthoides L. (synonym for Hieracium cerinthoides)	|	
Melanthera linearis	|	3899771	|		|	Melanthera linearis (synonym for Melanthera angustifolia)	|	
Saussurea lappa (Decne.) Sch.Bip.	|	772548	|		|	Saussurea lappa (Decne.) Sch.Bip. (synonym for Saussurea costus)	|	
Dendranthema horaimontana	|	91871	|		|	Dendranthema horaimontana (synonym for Chrysanthemum horaimontanum)	|	
Artemisiastrum palmeri	|	202531	|		|	Artemisiastrum palmeri (synonym for Artemisia palmeri)	|	
Cicerbita alpina (L.) Wallr.	|	155229	|		|	Cicerbita alpina (L.) Wallr. (synonym for Cicerbita alpina)	|	
Ptilophora major	|	734680	|		|	Ptilophora major (synonym for Microseris nutans)	|	
Carduus centauroides	|	82717	|		|	Carduus centauroides (synonym for Klasea centauroides)	|	
Packera glabella (Poir) C.Jeffrey	|	538440	|		|	Packera glabella (Poir) C.Jeffrey (synonym for Packera glabella)	|	
Artemisia macilenta (Maxim.) Krasch.	|	353948	|		|	Artemisia macilenta (Maxim.) Krasch. (synonym for Artemisia macilenta)	|	
Barkhausia radicata	|	674071	|		|	Barkhausia radicata (synonym for Crepis foetida)	|	
