uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
1042120	|		|	Asterales	|	order	|	ncbi:4209,gbif:414	|		|		|	
3826	|	1042120	|	Argophyllaceae	|	family	|	ncbi:57707	|		|	sibling_lower	|	
505093	|	3826	|	Corokia	|	genus	|	ncbi:16908	|		|		|	
117297	|	505093	|	Corokia buddleioides	|	species	|	ncbi:450834	|		|		|	
117299	|	505093	|	Corokia macrocarpa	|	species	|	ncbi:450835	|		|		|	
315626	|	505093	|	Corokia whiteana	|	species	|	ncbi:577421	|		|		|	
315628	|	505093	|	Corokia collenettei	|	species	|	ncbi:577420	|		|		|	
505091	|	505093	|	Corokia cotoneaster	|	species	|	ncbi:16909	|		|		|	
840022	|	505093	|	Corokia carpodetoides	|	species	|	ncbi:577419	|		|		|	
876335	|	3826	|	Argophyllum	|	genus	|	ncbi:49586	|		|		|	
784193	|	876335	|	Argophyllum laxum	|	species	|	ncbi:863414	|		|		|	
840043	|	876335	|	Argophyllum nullumense	|	species	|	ncbi:577416	|		|		|	
840045	|	876335	|	Argophyllum sp. PIF 24277	|	species	|	ncbi:577417	|		|		|	
876334	|	876335	|	Argophyllum sp. Telford 5462	|	species	|	ncbi:49587	|		|		|	
3847	|	1042120	|	Phellinaceae	|	family	|	ncbi:57708,gbif:3562486	|		|	sibling_lower	|	
883864	|	3847	|	Phelline	|	genus	|	ncbi:4303	|		|		|	
511869	|	883864	|	Phelline lucida	|	species	|	ncbi:92224	|		|		|	
511870	|	883864	|	Phelline billardieri	|	species	|	ncbi:92225	|		|		|	
593937	|	883864	|	Phelline comosa	|	species	|	ncbi:4304	|		|		|	
46248	|	1042120	|	Asteraceae	|	family	|	ncbi:4210,gbif:3065	|		|	sibling_lower	|	
139102	|	46248	|	Corymbioideae	|	subfamily	|	ncbi:219091	|		|	sibling_lower	|	
606846	|	139102	|	Corymbieae	|	tribe	|	ncbi:333710	|		|		|	
865049	|	606846	|	Corymbium	|	genus	|	ncbi:320625,gbif:3118629	|		|		|	
158203	|	865049	|	Corymbium enerve	|	species	|	ncbi:463311	|		|		|	
865054	|	865049	|	Corymbium glabrum	|	species	|	ncbi:320626	|		|		|	
139106	|	46248	|	Gymnarrhenoideae	|	subfamily	|	ncbi:219093	|		|	sibling_lower	|	
527110	|	139106	|	Gymnarrheneae	|	tribe	|	ncbi:219101	|		|		|	
756280	|	527110	|	Gymnarrhena	|	genus	|	ncbi:313928,gbif:3103901	|		|		|	
756282	|	756280	|	Gymnarrhena micrantha	|	species	|	ncbi:313929,gbif:3103902	|		|		|	
139108	|	46248	|	Gochnatioideae	|	subfamily	|	ncbi:219092	|		|	sibling_lower	|	
527112	|	139108	|	Gochnatieae	|	tribe	|	ncbi:219100	|		|		|	
267488	|	527112	|	Richterago	|	genus	|	ncbi:496610,gbif:3089633	|		|		|	
453512	|	267488	|	Richterago sp. Roque 493	|	species	|	ncbi:214061	|		|		|	
493995	|	267488	|	Richterago amplexifolia	|	species	|	ncbi:496611	|		|		|	
954210	|	267488	|	Richterago angustifolia	|	species	|	ncbi:496645	|		|		|	
1080628	|	267488	|	Richterago stenophylla	|	species	|	ncbi:214056	|		|		|	
343694	|	527112	|	Cyclolepis	|	genus	|	ncbi:496608,gbif:3091179	|		|		|	
343690	|	343694	|	Cyclolepis genistoides	|	species	|	ncbi:496609	|		|		|	
564576	|	527112	|	Cnicothamnus	|	genus	|	ncbi:130250,gbif:3139489	|		|		|	
564570	|	564576	|	Cnicothamnus lorentzii	|	species	|	ncbi:130253	|		|		|	
864183	|	527112	|	Gochnatia	|	genus	|	ncbi:41583,gbif:3094959	|		|		|	
564556	|	864183	|	Gochnatia polymorpha	|	species	|	ncbi:130259	|		|		|	
564558	|	864183	|	Gochnatia ilicifolia	|	species	|	ncbi:130258	|		|		|	
564560	|	864183	|	Gochnatia hypoleuca	|	species	|	ncbi:130257,gbif:3095015	|		|		|	
821100	|	864183	|	Gochnatia boliviana	|	species	|	ncbi:171796	|		|		|	
648107	|	864183	|	Gochnatia hiriartiana	|	species	|	ncbi:496628	|		|		|	
864180	|	864183	|	Gochnatia parvifolia	|	species	|	ncbi:41584	|		|		|	
994805	|	864183	|	Gochnatia decora	|	species	|	ncbi:927783	|		|		|	
1080632	|	864183	|	Gochnatia amplexifolia	|	species	|	ncbi:214057	|		|		|	
139110	|	46248	|	Pertyoideae	|	subfamily	|	ncbi:219095	|		|	sibling_lower	|	
5669	|	139110	|	Pertyeae	|	tribe	|	ncbi:219118	|		|		|	
509608	|	5669	|	Pertya	|	genus	|	ncbi:130294,gbif:3130273	|		|		|	
263320	|	509608	|	Pertya glabrescens	|	species	|	ncbi:130295	|		|		|	
435589	|	509608	|	Pertya phylicoides	|	species	|	ncbi:130296	|		|		|	
744893	|	509608	|	Pertya scandens	|	species	|	ncbi:418283	|		|		|	
641041	|	5669	|	Diaspananthus	|	genus	|	ncbi:418245,gbif:3149512	|		|	barren	|	
710700	|	5669	|	Catamixis	|	genus	|	ncbi:598555,gbif:3150245	|		|		|	
710698	|	710700	|	Catamixis baccharoides	|	species	|	ncbi:598556	|		|		|	
837728	|	5669	|	Myripnois	|	genus	|	ncbi:130280,gbif:3139346	|		|		|	
951170	|	837728	|	Myripnois dioica	|	species	|	ncbi:130281	|		|		|	
